ACCID;ACCUSERNAME;ACCPASSWORD;DATEOPEN;TOTALMONEY;DVT;CUSID;BranchID
A00001995;1451555855;Cedar1940@23AQU2FWN8;2019-01-23;510914806;VND;C00002424;BR0000001
A00001996;5891524476;Kamryn1997@8XKHWZTJYY;2019-08-26;214425758;VND;C00002425;BR0000018
A00001997;2386817126;Ely1947@LIJI48KMA2;2020-09-24;426631848;VND;C00002426;BR0000007
A00001998;2125262020;Sofia1966@BHMFAMYBH9;2021-12-01;735317682;VND;C00002428;BR0000021
A00001999;2747164122;Jahlil1993@1HOARZJGBO;2019-04-12;166763359;VND;C00002429;BR0000029
A00002000;9969649510;Koby1957@H9ZX57UIRK;2018-02-02;754408951;VND;C00002430;BR0000006
A00002001;5855895607;Markel1986@O6R4IJ28HC;2020-01-02;255021241;VND;C00002431;BR0000021
A00002002;2339919888;Evelyn1944@FXDQN0S401;2021-08-22;911209699;VND;C00002432;BR0000001
A00002003;5014072308;Oskar1984@0JLH9IGX79;2020-06-06;509969756;VND;C00002433;BR0000037
A00002004;4606670446;Avery1965@IGNDV9FAXK;2018-12-18;965828641;VND;C00002434;BR0000031
A00002005;8678062184;Chloe1963@EX1T8XHE8F;2021-10-20;287126629;VND;C00002435;BR0000009
A00002006;4833409196;Ella1954@6SN8RAJYRY;2021-02-27;820089598;VND;C00002436;BR0000002
A00002007;8527561134;Rigoberto1956@9IB91XFPT5;2020-06-10;185691879;VND;C00002437;BR0000047
A00002008;6475498325;Grace1966@Q9T94ET2WI;2019-06-15;713117480;VND;C00002438;BR0000024
A00002009;8392947747;Wolfgang1955@LWP98D3JA5;2020-06-08;818584159;VND;C00002440;BR0000004
A00002010;2124217668;Chayce1948@BL2071PCRB;2018-10-18;209724760;VND;C00002441;BR0000021
A00002011;5856861191;Deven1969@H6IP2GPHE1;2021-11-27;62257316;VND;C00002443;BR0000021
A00002012;8843503662;Levon1954@7HULJOP5J0;2021-08-11;514767274;VND;C00002444;BR0000044
A00002013;6532436309;Lloyd1989@70EU0NY1W3;2020-03-29;488651993;VND;C00002445;BR0000001
A00002015;4363417372;Carsyn1992@6ZGLFW5EOQ;2020-04-04;17134812;VND;C00002447;BR0000017
A00002016;2121249498;Devyn1987@BD6UKA2PGR;2020-03-04;12961859;VND;C00002449;BR0000021
A00002017;5006140078;Scarlett1995@7ZGIRG7PIN;2020-12-18;142025053;VND;C00002450;BR0000001
A00002018;5573785768;Dov1959@6ZFI1UN9SP;2021-09-23;871623792;VND;C00002451;BR0000031
A00002019;6688816315;Zoey1972@445CCVYH3H;2018-08-05;224642312;VND;C00002452;BR0000041
A00002020;7696565565;Drayden1944@RMKYJMLC2F;2021-05-18;639859525;VND;C00002453;BR0000032
A00002021;9784318789;Addison1960@1PZN6IH3WZ;2021-10-31;761101431;VND;C00002454;BR0000019
A00002022;2649222828;Floyd1939@7I087QMXTT;2018-09-20;117842320;VND;C00002455;BR0000003
A00002023;8066576811;Fynn1960@ZJ79GWJYAY;2019-06-18;259255241;VND;C00002457;BR0000017
A00002024;1119750041;Natalie1994@OQWIMM4LO1;2018-05-05;979693488;VND;C00002459;BR0000026
A00002025;6478822322;Hannah1983@EURJIB5Z9N;2019-07-28;620623676;VND;C00002460;BR0000040
A00002026;2196048183;Jaron1987@HZOEYOI66H;2018-09-19;195177202;VND;C00002461;BR0000041
A00002027;6907912831;Kaius1954@77WARERF43;2020-02-13;940471082;VND;C00002462;BR0000040
A00002028;4839512085;Kyran1964@R0INUS5PVT;2021-11-26;711188212;VND;C00002463;BR0000010
A00002029;9951835976;Laken1965@G1SHEZJ0JQ;2021-10-20;723304426;VND;C00002464;BR0000039
A00002030;4137844148;Monte1993@HOAIWEV75U;2019-08-08;670656898;VND;C00002465;BR0000019
A00002032;2726437389;Aria1966@YL1EAW87TU;2019-01-31;314172225;VND;C00002467;BR0000017
A00002033;6175020125;Stephon1985@O6W07KAHKR;2021-07-18;772968179;VND;C00002468;BR0000019
A00002034;3502955376;Layla1977@WX93QFG7R1;2020-10-17;964842612;VND;C00002469;BR0000001
A00002035;4921268362;Britton1963@JP6PJHL5IM;2019-11-22;580652564;VND;C00002470;BR0000024
A00002036;8761115566;Alexa1996@C205FMCKNY;2019-08-29;609804939;VND;C00002472;BR0000029
A00002037;8899080874;Zoe1996@J0GBY1X0P4;2019-04-19;451572503;VND;C00002473;BR0000026
A00002038;5396350992;Estevan1977@163XT7A7E6;2021-08-06;385518820;VND;C00002474;BR0000031
A00002039;5164440585;Penelope2002@ENL6WA51AM;2020-09-16;289143417;VND;C00002475;BR0000014
A00002040;5857364906;Riley1977@26BJLI2BK3;2019-10-21;977810063;VND;C00002476;BR0000021
A00002041;5080683379;Leah1960@KZA344HFAZ;2019-10-14;241817070;VND;C00002478;BR0000019
A00002042;7324541877;Audrey1979@2TS343O2FM;2019-12-28;247938205;VND;C00002479;BR0000035
A00002043;1617765723;Savannah1996@XGJEO5TQMR;2019-06-02;65833900;VND;C00002480;BR0000029
A00002044;1016453264;Jones1968@UA614XAWTF;2018-02-20;438683574;VND;C00002481;BR0000018
A00002045;8487762674;Khari1945@3MQ9B8VS9E;2018-10-05;505450895;VND;C00002482;BR0000034
A00002046;4918990072;Kyrin1989@QZ1HAIU4YS;2021-07-30;476260093;VND;C00002484;BR0000017
A00002047;2351215383;Marcelino1953@PEXSFIBEYV;2019-08-29;563583060;VND;C00002485;BR0000026
A00002048;9140710530;Samantha1981@MO7H82KZTU;2019-02-24;233073269;VND;C00002486;BR0000021
A00002049;6849416779;Nora1987@K86MK7LZ3Z;2019-07-18;496986987;VND;C00002487;BR0000024
A00002050;6177490230;Skylar2000@9R0RB400M1;2018-10-13;50993495;VND;C00002488;BR0000019
A00002051;9975328095;Camila1995@KTGCJD7SCD;2018-03-10;616939001;VND;C00002489;BR0000041
A00002052;5082445329;Anna1981@PLTS9TQV7D;2018-12-21;645208475;VND;C00002490;BR0000019
A00002053;9895211187;Paisley1959@IAVADLBS5A;2020-11-07;812940319;VND;C00002491;BR0000006
A00002054;2122208901;Olin1982@39VR4ETY8G;2018-09-26;741621091;VND;C00002493;BR0000021
A00002055;3275338503;Arman1991@T4LVH8EOJ8;2018-06-20;931053727;VND;C00002494;BR0000042
A00002056;5086037658;Ariana1959@XG6KEK2EAO;2021-08-23;441672937;VND;C00002495;BR0000019
A00002057;2121081597;Banks1992@OBQLKN8Q44;2019-12-29;24925504;VND;C00002496;BR0000021
A00002058;3426253065;Ellie1982@WUX853SJSV;2018-09-18;621912450;VND;C00002497;BR0000034
A00002059;6013092408;Damoni2000@D2A7CT0WM9;2020-07-04;959412648;VND;C00002498;BR0000042
A00002060;6692429811;Dev1964@EDTVE8OFXG;2020-03-21;51158887;VND;C00002499;BR0000032
A00002061;4061251775;Aaliyah1966@WAMZ1H0TYZ;2020-12-02;23984922;VND;C00002500;BR0000025
A00002062;4888188900;Claire1960@3EW78RBCN0;2019-09-15;242578015;VND;C00002501;BR0000029
A00002063;2128392338;Violet1955@KM23S11J35;2020-09-16;508821023;VND;C00002502;BR0000021
A00002064;2817542076;Stella1997@UHAHYVWZMB;2018-12-14;451168053;VND;C00002503;BR0000001
A00002065;5081645394;Nazir1970@MO8KL1PCS1;2021-02-02;378609763;VND;C00002504;BR0000019
A00002066;3911009591;Jaidyn1980@S8J4ZHMEOC;2020-07-24;187116178;VND;C00002505;BR0000002
A00002067;9146370231;Yakov1996@5G7P6YVMYX;2019-10-06;569442611;VND;C00002506;BR0000021
A00002068;8758288095;Janelly1972@NYHT7J3RVU;2020-11-06;821756794;VND;C00002507;BR0000042
A00002069;9092383879;Jiya1985@Q23K7Z1T5Y;2020-05-17;676873443;VND;C00002508;BR0000003
A00002070;7475675781;Joanne1979@AGMELUKLO3;2019-09-16;120888338;VND;C00002510;BR0000003
A00002071;7599759150;Joey1995@JMSB6OIMM1;2020-01-21;337415054;VND;C00002511;BR0000023
A00002072;2181310954;Henley1961@VVHLM8PIX2;2021-10-27;225995623;VND;C00002513;BR0000008
A00002073;6171092184;Maxon1977@MQCJGQ8G5L;2020-08-12;726089730;VND;C00002514;BR0000019
A00002074;6900250753;Morris1978@OBIBP5FN1Y;2021-08-01;833941330;VND;C00002515;BR0000028
A00002075;4160552505;Lailani1962@XT0VT7FZD1;2020-12-07;142133245;VND;C00002516;BR0000051
A00002076;7015088549;Raylen1944@6M17M0PRYI;2021-01-20;982585073;VND;C00002517;BR0000049
A00002077;8421036490;Maddilyn1990@J1K5ZA32UR;2020-08-24;682338299;VND;C00002519;BR0000027
A00002078;8643205583;Saif1964@8HE73XAN84;2019-06-28;972539002;VND;C00002520;BR0000008
A00002079;9780051049;Paulette1967@UWI888CSKW;2020-12-20;414135446;VND;C00002521;BR0000019
A00002080;1779039079;Stryker1957@C595UG6JO3;2021-05-31;674557424;VND;C00002522;BR0000007
A00002081;5504477295;Yariel1979@JQNVUTT1KP;2020-09-29;116574124;VND;C00002524;BR0000017
A00002082;7491011438;Sabine1972@ILKCNVIYBK;2019-05-25;943581843;VND;C00002525;BR0000017
A00002083;2127853402;Zaine1984@93VMHATEGJ;2018-09-13;241042441;VND;C00002526;BR0000021
A00002084;3516298900;Sydnee1967@V80UNWPQI9;2019-04-10;286247981;VND;C00002527;BR0000014
A00002085;1665340761;Arnav1997@Q0ZMWOM6V9;2021-03-29;592606190;VND;C00002528;BR0000002
A00002086;6828435215;Austyn1959@N8DM8U19HA;2020-03-13;66557723;VND;C00002529;BR0000029
A00002087;6460849295;Azriel1970@FZ8M2O03OS;2019-10-17;499932906;VND;C00002530;BR0000011
A00002088;9095123664;Xochitl1974@FA5QDIKDGI;2021-04-06;48221501;VND;C00002531;BR0000006
A00002089;2228856009;Braxten1957@IO6AX7DKJK;2019-12-30;803394901;VND;C00002532;BR0000027
A00002090;1104823064;Zarina1949@C0WKREZ7LH;2021-08-07;192743571;VND;C00002533;BR0000038
A00002091;2121158002;Caspian1963@VLERIXJBLX;2018-06-21;608704661;VND;C00002534;BR0000021
A00002092;2122663674;Damir1965@CMS668AUS4;2021-01-17;49746940;VND;C00002535;BR0000021
A00002093;8915534934;Dwight1981@9JT2XQH46J;2021-07-03;119064142;VND;C00002536;BR0000041
A00002094;9139289336;Jasiel1977@OUTXSGSW48;2020-03-31;85926273;VND;C00002537;BR0000024
A00002095;6176140453;Javian2000@C3TAKF88R1;2019-06-24;197841966;VND;C00002538;BR0000019
A00002096;8652091379;Zyla1992@8NHY4E3ETW;2021-05-30;124929093;VND;C00002539;BR0000037
A00002097;9535808281;Maddex2001@YGKYKFWL4T;2021-05-11;298198549;VND;C00002540;BR0000029
A00002099;6852738478;Rio1964@TOE9PQ6UGH;2020-02-05;274117110;VND;C00002542;BR0000022
A00002101;6175164027;Aura1973@5WL810HGLC;2021-12-28;207077850;VND;C00002545;BR0000019
A00002102;8602535940;Chava1981@Z4RK4YD4OE;2021-12-28;688025871;VND;C00002546;BR0000008
A00002103;5087330987;Jaci1973@6PYHZCWO99;2020-05-16;202698581;VND;C00002547;BR0000019
A00002104;5088355578;Yasin1973@RHPWJP4AHG;2019-03-11;192207354;VND;C00002548;BR0000019
A00002105;1394909668;Josefina1943@2X3R0V5689;2018-09-09;426470530;VND;C00002549;BR0000029
A00002106;2121398417;Juanita1996@O5FW1OBP1I;2018-04-30;386265740;VND;C00002550;BR0000021
A00002107;6733639185;Kyler1959@4F53MQVJQD;2018-01-06;970528107;VND;C00002551;BR0000029
A00002108;4030148497;Naia1984@7V28FROKPR;2021-02-04;147045109;VND;C00002552;BR0000007
A00002109;5267005122;Dewayne1996@ZZZM0LDD91;2020-06-11;299261924;VND;C00002553;BR0000034
A00002110;4901480323;Kylar1961@9N9VORFPPG;2018-02-07;887271322;VND;C00002554;BR0000041
A00002111;1998513200;Mattias1983@OG9PXKSXC8;2018-01-25;308004166;VND;C00002555;BR0000031
A00002112;3251548798;Rachelle1971@ZMZZ20DQ67;2020-04-26;505834716;VND;C00002556;BR0000014
A00002113;4015827765;Mickey1977@G0QSAEOLN7;2020-02-15;205608923;VND;C00002557;BR0000010
A00002114;5561747830;Montgomery1979@VK651ZPM5D;2018-05-18;349120957;VND;C00002558;BR0000039
A00002115;6920766357;Rae1985@KT1W6OYW7A;2020-04-09;373845547;VND;C00002559;BR0000011
A00002116;2555039333;Rylin1994@TA6A0T0R1C;2018-11-20;144132433;VND;C00002560;BR0000029
A00002117;5087887572;Ransom1965@GIQ5XO2MKL;2018-02-08;625262985;VND;C00002561;BR0000019
A00002118;5923088149;Shaurya1972@4PGV3ELSTE;2019-08-09;121811861;VND;C00002562;BR0000031
A00002119;8168765732;Trevon1991@C9N8I6P7FG;2018-04-11;69266705;VND;C00002563;BR0000007
A00002121;4538129200;Vernon1966@Y9IGPQOYFS;2020-11-30;220805983;VND;C00002565;BR0000041
A00002122;5123144070;Sabina1983@OJM29JT3X0;2021-05-08;212440128;VND;C00002566;BR0000027
A00002123;3703472357;Wilmer1963@G1LJ77MS0T;2019-01-21;62282434;VND;C00002567;BR0000041
A00002124;9784517155;Zakai1968@GVASQ34X8F;2019-04-16;904664613;VND;C00002569;BR0000019
A00002125;6401953963;Citlali1999@SV6OM429PW;2021-12-27;171722795;VND;C00002571;BR0000005
A00002126;2121718470;Gareth1973@7YMGBCHAZZ;2021-06-27;607486636;VND;C00002572;BR0000021
A00002127;2126319488;Dafne1985@FRFCM4VTE3;2021-02-24;871633455;VND;C00002573;BR0000021
A00002128;8148339414;Devorah1952@WCNCH8CD63;2021-07-02;100849805;VND;C00002574;BR0000027
A00002130;6709188118;Gracen1999@1721BRRNWL;2018-09-18;621627519;VND;C00002576;BR0000029
A00002131;3778615411;Henri1938@JG37WZM5K4;2020-03-14;578432118;VND;C00002577;BR0000029
A00002132;9142977141;Ilan1974@SG2CELMKNN;2020-12-12;95984073;VND;C00002578;BR0000021
A00002133;5009518190;Hayven1955@O7I08ABMUN;2021-08-11;603939772;VND;C00002579;BR0000043
A00002134;2982456844;Jackie1973@GUTZG3C29T;2018-12-27;759567434;VND;C00002581;BR0000024
A00002135;4133636706;Kasey1958@CBOPN7ENE5;2019-04-26;251818191;VND;C00002582;BR0000019
A00002136;5850847694;Kelly1957@AJORTNJ45G;2020-12-21;357718089;VND;C00002583;BR0000021
A00002137;7032129326;Jacklyn1964@52L2A9MUF9;2020-11-22;13586068;VND;C00002584;BR0000044
A00002138;5855501528;Kelis1991@L7YJODJUST;2020-01-21;746032110;VND;C00002585;BR0000021
A00002139;5181959788;Klayton1986@F0JNOU06P6;2018-01-25;870569366;VND;C00002586;BR0000011
A00002140;5672627509;Maximillian1978@S1N76UYPFI;2019-06-17;496003947;VND;C00002588;BR0000051
A00002141;1950826728;Myron1983@XNGRNCS0RB;2019-03-26;547325441;VND;C00002589;BR0000045
A00002142;3373466323;Noella1984@68ZA1P1TYB;2018-07-31;142920052;VND;C00002590;BR0000031
A00002143;2120954630;Rain2000@1CPFIKXJ9X;2021-02-27;453375302;VND;C00002592;BR0000021
A00002144;9785800638;Alexavier1983@UO59T04TLN;2021-03-14;631392900;VND;C00002594;BR0000019
A00002146;3732197618;Ambrose1981@PDT7I287FS;2021-11-23;731109669;VND;C00002596;BR0000035
A00002147;3480238834;Susie1989@4QJF62LVPV;2019-12-02;518383471;VND;C00002597;BR0000015
A00002148;2122786428;Anas1966@GTD01UB45Y;2020-10-21;108730817;VND;C00002599;BR0000021
A00002149;9426109381;Taylee1943@M8MU9D3OVZ;2019-07-14;15687170;VND;C00002600;BR0000010
A00002150;4057216756;Aryeh1981@DVLB6KQ0RJ;2021-02-10;329679548;VND;C00002601;BR0000042
A00002151;3572387726;Xena1992@U1RSVGMKTT;2019-02-10;832512598;VND;C00002603;BR0000024
A00002152;6472302658;Brigham1946@IRWDTWA1G1;2020-09-19;615774260;VND;C00002604;BR0000013
A00002153;4314533097;Fred1963@8YIQ17BFWB;2018-04-12;816240715;VND;C00002606;BR0000035
A00002154;9295600417;Irving1963@U1HWPQRISM;2019-12-26;589748679;VND;C00002607;BR0000024
A00002155;5083608958;Kamiah1963@HNXPAO59K8;2018-04-22;943101321;VND;C00002608;BR0000019
A00002156;2125403862;Jakobi1997@84HYM1J1UP;2021-06-17;719414581;VND;C00002609;BR0000021
A00002157;3154641425;Jaquan1958@YPMQOA9ISJ;2019-01-19;983587315;VND;C00002611;BR0000021
A00002158;7529697823;Kyng1995@NIALGJ0YV6;2021-01-16;786046072;VND;C00002612;BR0000024
A00002159;2124288035;Kyzer1997@YPL2C559VZ;2018-08-05;919497887;VND;C00002613;BR0000021
A00002160;3068168179;Lester1966@ZQZ3XRQQDI;2019-10-13;404354532;VND;C00002614;BR0000003
A00002161;7351106600;Laine1965@FXQ74FV6JO;2020-07-13;78348600;VND;C00002615;BR0000041
A00002162;7163422867;Marko1990@1AA2GHIVT9;2019-03-03;870937308;VND;C00002616;BR0000021
A00002163;8697414974;Mauro1962@OYMVFBITG3;2021-03-09;477867626;VND;C00002618;BR0000004
A00002164;2386087275;Saydee1989@AXRZDP8A1T;2018-08-12;323640129;VND;C00002619;BR0000024
A00002165;4139329190;Osiris1976@G285BPZ6QU;2018-11-09;897711568;VND;C00002621;BR0000019
A00002166;6174172559;Steele1993@8X8JY6VWMW;2019-09-15;789658582;VND;C00002622;BR0000019
A00002167;6478642181;Sonja1985@FCAL8P7U0X;2019-08-15;846203432;VND;C00002623;BR0000009
A00002169;5089974131;Braulio1992@UMU26QN3Y3;2019-06-27;481699679;VND;C00002625;BR0000019
A00002170;2127007810;Efren1960@IU50IY0WTC;2020-09-06;762412539;VND;C00002626;BR0000021
A00002172;2121976509;Taniya1951@OMKRLCXVV8;2021-08-11;742085965;VND;C00002628;BR0000021
A00002173;8653088136;Vianney1957@6EI9194F51;2021-11-26;644636223;VND;C00002630;BR0000041
A00002174;3758204358;Evander1990@9K5CXVUWXA;2019-07-29;175765736;VND;C00002631;BR0000049
A00002175;2123976951;Aja1987@KUG811OL09;2018-05-06;622007982;VND;C00002633;BR0000021
A00002176;3638907536;Anissa1986@1877KSGFD4;2019-06-17;171692645;VND;C00002635;BR0000024
A00002177;9260678866;Gianluca1938@4P1PONG7UJ;2019-02-02;868962934;VND;C00002636;BR0000015
A00002178;5612042011;Khaled1955@DPYRYPBX00;2019-12-25;492951084;VND;C00002637;BR0000041
A00002179;2120580242;Luther1962@02GD2UBE2X;2018-02-04;751088186;VND;C00002638;BR0000021
A00002180;6568021393;Annemarie1970@WKVDTUU80P;2018-01-05;213510329;VND;C00002639;BR0000047
A00002182;8494159268;Ash1993@ITTFU28F88;2019-03-01;790162707;VND;C00002642;BR0000013
A00002183;2750989943;Aylah1966@82YXE94OZI;2020-02-26;65902298;VND;C00002643;BR0000001
A00002184;9607194383;Danni1984@ZRTGI775W8;2019-05-22;207446153;VND;C00002644;BR0000018
A00002185;3318688475;Beaux1940@M7CPXDWRNI;2020-09-21;136323319;VND;C00002645;BR0000024
A00002186;6697396578;Eila1957@T95W3G0UJ9;2019-08-19;825611424;VND;C00002646;BR0000024
A00002187;6177521093;Bjorn1960@ISKAOXEJJ0;2021-02-13;150290618;VND;C00002647;BR0000019
A00002189;5850318261;Chester1995@PMHESIUQT9;2020-09-02;861884356;VND;C00002650;BR0000021
A00002190;9200664881;Fallyn1969@B07NC3R9Y6;2020-03-03;779762566;VND;C00002652;BR0000008
A00002191;2125130974;Denim1970@J3M49JD60O;2020-06-23;707603480;VND;C00002653;BR0000021
A00002192;6171355853;Jhene1959@U8VGY6PBWB;2020-12-24;297300424;VND;C00002654;BR0000019
A00002193;4327413015;Ender1983@777TOAT2MR;2018-11-27;920477497;VND;C00002655;BR0000014
A00002194;8473387957;Jaidyn1975@5JF1VKR0KZ;2019-07-14;400349546;VND;C00002656;BR0000001
A00002195;9820756244;Jaleel1968@Q5L6L0ZYCJ;2020-05-11;521208157;VND;C00002657;BR0000024
A00002196;2395544566;Jariel1953@UUEE0YUF19;2019-12-11;356157219;VND;C00002658;BR0000043
A00002197;3774198704;Jayvon1961@IWZGPZRQ0Y;2018-03-08;10181923;VND;C00002659;BR0000029
A00002199;2126525742;Kalynn1981@QAI80T620V;2018-01-22;316072803;VND;C00002661;BR0000021
A00002200;2126341270;Jordon1998@PKUIEM4WQP;2019-06-23;313033088;VND;C00002662;BR0000021
A00002201;5665280980;Jovanny1996@V93M2DGQST;2018-07-31;547212402;VND;C00002663;BR0000011
A00002203;3768120330;Kaniyah1955@W0V5EBJD17;2020-11-19;957819529;VND;C00002666;BR0000046
A00002204;6179602229;Korey1992@1ZQDVCT45O;2020-02-01;875812137;VND;C00002667;BR0000019
A00002205;4134851490;Mahdi1947@45KX3WHQ2I;2018-11-16;858084894;VND;C00002669;BR0000019
A00002206;9158181976;Roan1956@YLJZKNV3AE;2018-04-26;497380749;VND;C00002670;BR0000047
A00002207;6661738137;Mylee1992@QBYTPTL0B1;2020-08-24;431905316;VND;C00002671;BR0000023
A00002208;6006681991;Neva1960@YBZ0XAQEEB;2021-01-21;306785041;VND;C00002672;BR0000010
A00002209;6172610663;Ryatt1979@23KL8P92A8;2021-10-02;883225585;VND;C00002673;BR0000019
A00002210;3798285424;Theron1944@U4VFDA5ELU;2018-09-19;623624025;VND;C00002675;BR0000035
A00002211;5083771627;Zamari1981@SIMSSFE8H8;2018-06-29;384082137;VND;C00002676;BR0000019
A00002212;6518807709;Abdulaziz1942@25NIEF481T;2021-08-06;982842439;VND;C00002677;BR0000051
A00002213;2123849161;Azaiah1958@HPI29JZ76M;2018-06-19;328270937;VND;C00002679;BR0000021
A00002214;7212079211;Adelia1991@X6Z6NLG0J1;2019-08-15;453540731;VND;C00002681;BR0000047
A00002215;5087535267;Adrian1949@VOLRJV2LW2;2021-03-10;996967467;VND;C00002683;BR0000019
A00002216;8868028870;Alayla1973@5EHQU2KKPZ;2018-03-19;867571009;VND;C00002684;BR0000007
A00002217;9276258105;Batsheva1989@Y0GLJMNA5P;2021-01-06;742345919;VND;C00002685;BR0000024
A00002218;4641364592;Breelyn1971@VT2TKSQ4YC;2019-07-18;126471933;VND;C00002686;BR0000040
A00002219;7819356570;Calli1987@HSVDJ7NXIV;2020-07-27;503818746;VND;C00002688;BR0000019
A00002220;6217500575;Jaysen1943@ASA819AJGW;2021-11-27;938992131;VND;C00002689;BR0000009
A00002221;5087598128;Coco1991@ZYK58M6S4K;2018-05-25;330833672;VND;C00002690;BR0000019
A00002222;6398695721;Kaisen1984@QW4C83VG4P;2021-03-08;800482763;VND;C00002691;BR0000046
A00002223;4487820053;Ryden1945@3PBCUIKS49;2019-07-10;502584225;VND;C00002692;BR0000014
A00002224;5702937736;Emalynn1996@WAHDQE6RMH;2019-04-16;574107959;VND;C00002693;BR0000029
A00002225;4954209638;Giulia1947@25MFB6FZ8F;2020-12-18;396176356;VND;C00002694;BR0000050
A00002226;3727006556;Aurelio1967@UX1E0RCBB2;2019-12-01;244404049;VND;C00002696;BR0000033
A00002227;7394310888;Hollie1990@VWI8RY0MYU;2019-01-18;612090265;VND;C00002698;BR0000035
A00002228;9874718092;Ezrah1965@VFPAIKBR7Q;2020-08-02;964197556;VND;C00002700;BR0000034
A00002229;2124181459;Fidel1972@JJON0Y6F7Z;2021-03-07;789721862;VND;C00002701;BR0000021
A00002230;9061225204;Heriberto1939@AGZTAVUYYO;2020-09-05;748959768;VND;C00002702;BR0000010
A00002231;9291973675;Jailynn1993@KK7OD0Z420;2018-12-18;153168759;VND;C00002703;BR0000033
A00002232;2125308584;Jalynn1969@R3P1YVXAA7;2020-01-10;165836960;VND;C00002704;BR0000021
A00002233;6044116845;Hyrum1944@3R8DXEON3I;2019-04-18;676441909;VND;C00002705;BR0000005
A00002234;3439513237;Shea1987@XKWY2WTYM8;2019-09-10;312564845;VND;C00002706;BR0000022
A00002235;1276536370;Yazan1989@0GUTHAR7E0;2018-06-22;47756486;VND;C00002707;BR0000047
A00002236;9264638270;Zyler1978@M6ZGV8VXIG;2020-07-12;652501739;VND;C00002708;BR0000024
A00002237;3213978741;Arnold1966@LOF2XIFYQU;2018-03-28;605950869;VND;C00002709;BR0000048
A00002239;5407583902;Kacen1976@DNSOO0C467;2018-06-15;753480706;VND;C00002712;BR0000002
A00002240;1831816450;Micaiah1982@E4XPPJ6ARU;2021-03-22;629041754;VND;C00002713;BR0000017
A00002241;4969804449;Jazzlynn1990@LCZ03TGW09;2018-07-21;505489655;VND;C00002714;BR0000018
A00002242;2076689626;Neel1977@33OZCT85N6;2019-08-03;521135749;VND;C00002715;BR0000010
A00002243;9346326852;Jia1989@IGUGF1HG0R;2019-08-25;90004609;VND;C00002716;BR0000002
A00002244;3420678719;Patricio1950@DPXOJZWLMA;2020-11-12;48431195;VND;C00002717;BR0000029
A00002245;5854278176;Kambree1984@1BG8PX9N48;2018-04-10;698155570;VND;C00002719;BR0000027
A00002246;2127143920;Linley1969@2AZ8ZAUKI8;2019-12-02;289138459;VND;C00002720;BR0000021
A00002247;9459050166;Loralei1970@3ZLTOFGJDM;2020-01-30;888586523;VND;C00002721;BR0000025
A00002250;3156592204;Tremaine1995@Q44JZFYF0E;2019-06-16;889772930;VND;C00002724;BR0000023
A00002252;2123055046;Marlow1993@UN6L14R4IH;2021-07-10;959824375;VND;C00002726;BR0000021
A00002253;8287056278;Aiyden1942@5D6D8WBXBD;2018-12-11;861777837;VND;C00002728;BR0000007
A00002254;2127529625;Andrey1986@GPBZXJ6WR0;2018-09-06;395992042;VND;C00002729;BR0000021
A00002255;3722789698;Arrow1967@VI3O94UX9F;2020-05-22;499171766;VND;C00002730;BR0000024
A00002256;7293975861;Cam1947@U4R03K05D9;2018-06-01;425568188;VND;C00002731;BR0000024
A00002257;5084113448;Mckinlee1973@NCZCFKOQ85;2020-09-21;852260687;VND;C00002732;BR0000019
A00002258;9326387709;Millicent1947@HK8MEDEJDY;2018-08-29;143573321;VND;C00002733;BR0000022
A00002259;9680441937;Donavan1948@1XH206BBTR;2020-12-17;382180252;VND;C00002735;BR0000041
A00002260;2127379510;Ramsey1978@NEJMEZFQ0M;2020-10-18;143566770;VND;C00002736;BR0000021
A00002261;2122991519;Eliam1971@5QLO1W4P8U;2019-09-24;852951024;VND;C00002738;BR0000021
A00002262;9739942887;Ervin1970@NH4WABR1MM;2018-07-27;823844454;VND;C00002739;BR0000032
A00002263;4979152332;Rebel1987@P2BY70ENW6;2021-02-21;440349242;VND;C00002740;BR0000017
A00002264;7748317489;Shaniyah1950@MC90T9U24W;2019-05-24;271386002;VND;C00002741;BR0000008
A00002265;6170468020;Sinai1968@Y0FVJKXJF8;2021-04-18;765779695;VND;C00002742;BR0000019
A00002266;7164714468;Timber1959@NKB0NLICI4;2021-04-28;288022809;VND;C00002743;BR0000021
A00002267;9731432081;Tracy1959@QJMKGANBGC;2021-11-02;282271341;VND;C00002745;BR0000001
A00002268;2126656167;Kenan1991@ZGY5PZPK65;2021-05-13;836235789;VND;C00002746;BR0000021
A00002269;2220455921;Lyam1956@UT2GQVA47T;2019-12-31;438830518;VND;C00002747;BR0000018
A00002270;7946375964;Alijah1941@3Z7KATYF1C;2021-12-29;605546273;VND;C00002749;BR0000020
A00002271;2009757389;Alyza1977@W2UULBM1YQ;2018-01-04;959728341;VND;C00002751;BR0000017
A00002272;5087432107;Riker1991@UNS18WT0VL;2019-07-10;461074029;VND;C00002752;BR0000019
A00002274;6146003092;Anisha1998@BFHBAOLDCL;2020-05-07;276151925;VND;C00002754;BR0000017
A00002275;2123046779;Braylin1990@INCUWW895F;2021-03-05;472903237;VND;C00002755;BR0000021
A00002276;2234284624;Carys1939@H874UHV9QU;2021-05-19;995160452;VND;C00002756;BR0000035
A00002278;2128999780;Tariq1966@JE36FKFBJL;2021-10-17;822625794;VND;C00002758;BR0000021
